# DYNAMIC COUNTS:
# Total dynamic bytecodes: 55000145
instruction,counts,total execution time(μs),total execution time(μs)_std
ASSERT_FUNC,4000004,3994471.4,16132.112108919197
CALL,4000004,3872638.5,17664.48024918039
CATCH,0,0.0,0.0
CREATE_CLASS,1,19.8,0.5231483637805967
CREATE_FUNC,17,34.15,0.9880869341680838
CREATE_LIST,0,0.0,0.0
CREATE_OBJECT,1,12.75,1.1180339887498951
DUPE,1000029,611277.55,3266.5300513413213
JUMP,1000000,601299.35,3504.1347798369693
JUMP_IF_FALSE,0,0.0,0.0
JUMP_IF_FALSE_PEEK,1000001,616823.95,2905.227275736653
JUMP_IF_TRUE_PEEK,0,0.0,0.0
LOAD_CONST,2000012,1218528.25,5563.779053418919
LOAD_FIELD,12000004,9193974.1,40044.12710327391
LOAD_GLOBAL,17,32.65,1.531253356602121
LOAD_GLOBAL_BY_INDEX,12999989,7935110.8,36246.9034344931
LOAD_LOCAL,0,0.0,0.0
LOAD_LOCAL_SAFE,4000013,2437650.85,12771.849024422065
LOAD_NONLOCAL,0,0.0,0.0
NOP,0,0.0,0.0
POP,9000012,5491324.2,26299.734546589214
RAISE,0,0.0,0.0
RETURN,2000002,1237553.65,6692.20133143992
RETURN_INIT,1,2.0,0.0
STORE_FIELD,1000009,639672.15,3202.094072634335
STORE_GLOBAL,20,59.4,1.273205651722827
STORE_GLOBAL_BY_INDEX,0,0.0,0.0
STORE_LOCAL,0,0.0,0.0
SWAP,1000009,612166.9,3592.6322544604295
TRY,0,0.0,0.0
