# DYNAMIC COUNTS:
# Total dynamic bytecodes: 1542140
instruction,counts,total execution time(μs),total execution time(μs)_std
ASSERT_FUNC,233607,240980.25,784.4307272088906
CALL,233607,274050.45,1648.4650747381875
CATCH,0,0.0,0.0
CREATE_CLASS,2,26.0,4.013136324359632
CREATE_FUNC,17,32.45,4.989198859852942
CREATE_LIST,5461,4369.45,31.394728018704377
CREATE_OBJECT,2,11.65,1.7851728502481652
DUPE,52480,32248.75,160.25140610270685
JUMP,31976,19336.65,119.22083666346548
JUMP_IF_FALSE,5461,3418.6,35.21423157280532
JUMP_IF_FALSE_PEEK,33341,20905.6,402.9647235441984
JUMP_IF_TRUE_PEEK,0,0.0,0.0
LOAD_CONST,104915,64214.9,231.48102116133649
LOAD_FIELD,182518,249796.05,842.6915821530285
LOAD_GLOBAL,15,25.85,4.042862456491101
LOAD_GLOBAL_BY_INDEX,64733,39942.15,159.70442270513067
LOAD_LOCAL,0,0.0,0.0
LOAD_LOCAL_SAFE,338519,208055.95,1360.1616573814026
LOAD_NONLOCAL,0,0.0,0.0
NOP,0,0.0,0.0
POP,85801,52618.8,271.3982507797642
RAISE,0,0.0,0.0
RETURN,107643,67320.3,300.8745323395237
RETURN_INIT,2,3.7,0.7326950970650464
STORE_FIELD,9560,6443.75,42.8385893423454
STORE_GLOBAL,21,57.75,8.78320766247191
STORE_GLOBAL_BY_INDEX,0,0.0,0.0
STORE_LOCAL,42899,26369.3,145.1217637564725
SWAP,9560,5880.2,42.971961482857765
TRY,0,0.0,0.0
