# DYNAMIC COUNTS:
# Total dynamic bytecodes: 972138
instruction,counts,total execution time(μs),total execution time(μs)_std
ASSERT_FUNC,161497,178909.35,447.2479913755623
CALL,161497,183915.0,640.6886919557651
CATCH,0,0.0,0.0
CREATE_CLASS,1,20.7,3.672085310326517
CREATE_FUNC,17,32.7,5.88575443449333
CREATE_LIST,1,1.95,0.5104177855340405
CREATE_OBJECT,1,6.1,1.0711528467275953
DUPE,22430,13964.45,73.05475596031411
JUMP,21737,13313.85,107.46665333463872
JUMP_IF_FALSE,4999,3129.7,40.82323899576393
JUMP_IF_FALSE_PEEK,21739,13780.85,67.57784984352253
JUMP_IF_TRUE_PEEK,0,0.0,0.0
LOAD_CONST,36072,22326.4,81.1408132751167
LOAD_FIELD,123020,141915.2,415.5154820093668
LOAD_GLOBAL,14,17.65,2.1588252165910684
LOAD_GLOBAL_BY_INDEX,59535,37082.1,151.74525051095358
LOAD_LOCAL,0,0.0,0.0
LOAD_LOCAL_SAFE,223451,138599.95,503.01778507848195
LOAD_NONLOCAL,0,0.0,0.0
NOP,0,0.0,0.0
POP,43481,27021.8,139.6546869208031
RAISE,0,0.0,0.0
RETURN,70216,44185.5,195.67655912110055
RETURN_INIT,0,0.0,0.0
STORE_FIELD,0,0.0,0.0
STORE_GLOBAL,20,56.6,8.318653737234168
STORE_GLOBAL_BY_INDEX,0,0.0,0.0
STORE_LOCAL,22410,13955.6,89.49766242169326
SWAP,0,0.0,0.0
TRY,0,0.0,0.0
