# DYNAMIC COUNTS:
# Total dynamic bytecodes: 652358
instruction,counts,total execution time(μs),total execution time(μs)_std
ASSERT_FUNC,105193,92533.84,679.19178740738
CALL,105193,162587.4,1189.049354462186
CATCH,0,0.0,0.0
CREATE_CLASS,1,12.38,2.4898979570927584
CREATE_FUNC,17,31.94,8.425931790052198
CREATE_LIST,40,54.92,3.7243818826972173
CREATE_OBJECT,1,29.14,6.458691344037971
DUPE,9891,6066.94,70.68885834328867
JUMP,9740,5893.22,67.41685430882943
JUMP_IF_FALSE,11010,6837.38,69.44911218779885
JUMP_IF_FALSE_PEEK,27351,17027.88,148.70963901070422
JUMP_IF_TRUE_PEEK,0,0.0,0.0
LOAD_CONST,36367,22152.42,197.8745314690131
LOAD_FIELD,101732,97701.86,737.2158327665186
LOAD_GLOBAL,57,100.3,22.224503851122783
LOAD_GLOBAL_BY_INDEX,29307,17982.04,139.83313087317998
LOAD_LOCAL,0,0.0,0.0
LOAD_LOCAL_SAFE,178054,108585.36,864.3488231977097
LOAD_NONLOCAL,0,0.0,0.0
NOP,0,0.0,0.0
POP,28393,17319.94,178.43244991781404
RAISE,0,0.0,0.0
RETURN,80,48.0,3.9070840946220997
STORE_FIELD,40,34.9,4.721855394582402
STORE_GLOBAL,19,50.86,9.313168206406257
STORE_GLOBAL_BY_INDEX,0,0.0,0.0
STORE_LOCAL,9832,5982.84,68.23080876925128
SWAP,40,27.72,3.338336381480807
TRY,0,0.0,0.0
