# DYNAMIC COUNTS:
# Total dynamic bytecodes: 927987
instruction,counts,total execution time(μs),total execution time(μs)_std
ASSERT_FUNC,136990,118580.42,736.9817955273918
CALL,136990,210744.22,1433.1014645708462
CATCH,0,0.0,0.0
CREATE_CLASS,1,13.42,2.031285910200627
CREATE_FUNC,17,32.54,3.131212192732771
CREATE_LIST,1,2.6,0.5345224838248488
CREATE_OBJECT,1,19.38,2.8420314665997024
DUPE,31039,18929.92,181.63428607383324
JUMP,13699,8271.48,90.32215358687725
JUMP_IF_FALSE,17320,10789.7,118.35406065475505
JUMP_IF_FALSE_PEEK,8659,5381.48,60.19262955762298
JUMP_IF_TRUE_PEEK,0,0.0,0.0
LOAD_CONST,39690,24142.8,186.82459305837813
LOAD_FIELD,156363,138904.44,806.5990117240924
LOAD_GLOBAL,11,20.1,2.358224859888454
LOAD_GLOBAL_BY_INDEX,38253,23441.86,203.65938049917105
LOAD_LOCAL,0,0.0,0.0
LOAD_LOCAL_SAFE,249416,151681.8,1161.2321745737631
LOAD_NONLOCAL,0,0.0,0.0
NOP,0,0.0,0.0
POP,59836,36425.14,257.4908763987008
RAISE,0,0.0,0.0
RETURN,0,0.0,0.0
STORE_FIELD,8662,5464.6,59.074149185924135
STORE_GLOBAL,20,49.54,5.071770612208043
STORE_GLOBAL_BY_INDEX,0,0.0,0.0
STORE_LOCAL,22357,13588.8,123.59760251290781
SWAP,8662,5292.58,64.22126610717154
TRY,0,0.0,0.0
