# DYNAMIC COUNTS:
# Total dynamic bytecodes: 901922
instruction,counts,total execution time(μs),total execution time(μs)_std
ASSERT_FUNC,161497,186331.42,1380.7713474277834
CALL,161497,246333.62,2065.685120224854
CATCH,0,0.0,0.0
CREATE_CLASS,1,14.6,2.0701966780270626
CREATE_FUNC,17,32.5,3.5007287870979567
CREATE_LIST,1,2.2,0.5345224838248488
CREATE_OBJECT,1,11.54,1.9188644601238856
DUPE,22430,13813.52,147.76915808663404
JUMP,21737,13210.32,152.53857859303557
JUMP_IF_FALSE,4999,3125.56,52.8309433138248
JUMP_IF_FALSE_PEEK,21739,13609.32,145.95798109352555
JUMP_IF_TRUE_PEEK,0,0.0,0.0
LOAD_CONST,36072,22086.76,237.00896047816155
LOAD_FIELD,123020,138504.3,1019.7604810814632
LOAD_GLOBAL,14,17.24,2.0658545694314534
LOAD_GLOBAL_BY_INDEX,59535,36710.04,400.5840613455321
LOAD_LOCAL,0,0.0,0.0
LOAD_LOCAL_SAFE,223451,136879.9,1219.784495017753
LOAD_NONLOCAL,0,0.0,0.0
NOP,0,0.0,0.0
POP,43481,26764.0,227.15435730096874
RAISE,0,0.0,0.0
RETURN,0,0.0,0.0
STORE_FIELD,0,0.0,0.0
STORE_GLOBAL,20,49.1,4.708871349671288
STORE_GLOBAL_BY_INDEX,0,0.0,0.0
STORE_LOCAL,22410,13757.32,134.38923669243567
SWAP,0,0.0,0.0
TRY,0,0.0,0.0
