Line Number,Bytecode ID,Instruction Index,Instruction,Hits,Misses
1,0,4,LOAD_FIELD,1894,45309
1,1,4,LOAD_FIELD,0,5322
1,2,12,LOAD_FIELD,3126,1
1,5,4,LOAD_FIELD,156,1045
1,7,4,LOAD_FIELD,3,601
1,13,4,LOAD_FIELD,104355,16120
1,15,12,LOAD_FIELD,23956,5434
1,17,4,LOAD_FIELD,1029,40555
1,23,4,LOAD_FIELD,2,3125
1,25,4,LOAD_FIELD,0,1200
10,67,24,LOAD_FIELD,0,1
11,67,48,LOAD_FIELD,0,1
15,39,60,LOAD_FIELD,12957,1027
15,68,12,LOAD_FIELD,0,1
16,39,84,LOAD_FIELD,1026,12958
18,68,56,LOAD_FIELD,0,1
19,68,84,LOAD_FIELD,0,1
20,68,124,LOAD_FIELD,0,1
23,68,168,LOAD_FIELD,0,1
24,68,208,LOAD_FIELD,0,1
27,68,252,LOAD_FIELD,0,1
28,68,292,LOAD_FIELD,0,1
38,45,44,LOAD_FIELD,3,1
38,45,12,LOAD_FIELD,3,1
38,45,48,LOAD_FIELD,3,1
38,45,84,LOAD_FIELD,2,2
38,45,80,LOAD_FIELD,3,1
54,85,16,STORE_FIELD,2,1
55,85,56,STORE_FIELD,2,1
56,85,96,STORE_FIELD,2,1
57,85,136,STORE_FIELD,2,1
68,47,12,LOAD_FIELD,3988,1
69,47,60,STORE_FIELD,865,1
69,92,24,LOAD_FIELD,0,1
71,47,80,LOAD_FIELD,3122,1
71,47,92,LOAD_FIELD,2299,824
71,47,88,LOAD_FIELD,3122,1
72,47,136,LOAD_FIELD,3,1
72,47,140,LOAD_FIELD,3,1
72,92,68,LOAD_FIELD,0,1
74,47,208,LOAD_FIELD,153,1
74,47,212,LOAD_FIELD,153,1
75,92,112,LOAD_FIELD,0,1
75,47,236,LOAD_FIELD,146,4
75,47,256,LOAD_FIELD,146,4
75,47,252,LOAD_FIELD,149,1
76,47,284,LOAD_FIELD,3,147
78,47,332,STORE_FIELD,3,1
82,47,356,LOAD_FIELD,3123,866
82,47,368,LOAD_FIELD,3988,1
82,47,352,LOAD_FIELD,3988,1
83,47,392,LOAD_FIELD,3988,1
83,47,396,LOAD_FIELD,865,3124
83,47,416,STORE_FIELD,3988,1
86,100,16,STORE_FIELD,0,1
89,101,4,LOAD_FIELD,0,1
90,101,24,LOAD_FIELD,0,1
91,101,44,LOAD_FIELD,0,1
92,101,72,LOAD_FIELD,0,1
93,101,92,LOAD_FIELD,0,1
97,102,12,LOAD_FIELD,3391,1
98,102,32,LOAD_FIELD,589,1
99,102,72,LOAD_FIELD,2801,1
100,102,92,LOAD_FIELD,25,1
101,102,132,LOAD_FIELD,2775,1
102,102,152,LOAD_FIELD,2,1
103,102,192,LOAD_FIELD,2772,1
104,102,212,LOAD_FIELD,1350,1
105,102,252,LOAD_FIELD,1421,1
106,102,272,LOAD_FIELD,552,1
107,102,312,LOAD_FIELD,868,1
108,102,332,LOAD_FIELD,156,1
109,102,372,LOAD_FIELD,711,1
110,102,400,LOAD_FIELD,704,1
111,102,428,LOAD_FIELD,685,1
112,102,456,LOAD_FIELD,443,1
113,102,484,LOAD_FIELD,192,1
114,102,512,LOAD_FIELD,173,1
115,102,540,LOAD_FIELD,132,1
116,102,568,LOAD_FIELD,95,1
117,102,596,LOAD_FIELD,44,1
