# Omitting opcode pairs seen zero times during compilation
opcode,next opcode,counts
LOAD_FIELD,ASSERT_FUNC,40
LOAD_LOCAL,LOAD_FIELD,39
ASSERT_FUNC,LOAD_LOCAL,37
LOAD_LOCAL,CALL,23
DUPE,STORE_GLOBAL,20
CALL,RETURN,20
CREATE_FUNC,DUPE,17
LOAD_GLOBAL,ASSERT_FUNC,14
ASSERT_FUNC,CALL,12
POP,LOAD_LOCAL,11
LOAD_CONST,CALL,9
CALL,CALL,8
LOAD_LOCAL,LOAD_CONST,8
LOAD_LOCAL,LOAD_LOCAL,7
DUPE,STORE_LOCAL,7
CALL,POP,7
STORE_LOCAL,POP,6
CALL,DUPE,6
POP,LOAD_GLOBAL,6
DUPE,STORE_FIELD,5
JUMP_IF_FALSE,LOAD_GLOBAL,5
LOAD_CONST,LOAD_CONST,5
LOAD_FIELD,LOAD_FIELD,5
SWAP,DUPE,5
STORE_FIELD,POP,4
ASSERT_FUNC,LOAD_CONST,4
CALL,JUMP_IF_FALSE,4
LOAD_GLOBAL,JUMP,3
LOAD_CONST,SWAP,3
JUMP,LOAD_GLOBAL,3
POP,JUMP,2
CALL,LOAD_LOCAL,2
LOAD_GLOBAL,CALL,2
CALL,JUMP_IF_FALSE_PEEK,2
LOAD_GLOBAL,LOAD_FIELD,2
JUMP,LOAD_CONST,2
STORE_GLOBAL,POP,1
CREATE_OBJECT,DUPE,1
ASSERT_FUNC,LOAD_GLOBAL,1
LOAD_CONST,RETURN,1
CREATE_CLASS,DUPE,1
CREATE_LIST,SWAP,1
JUMP_IF_FALSE_PEEK,LOAD_LOCAL,1
LOAD_CONST,DUPE,1
LOAD_CONST,CREATE_LIST,1
LOAD_CONST,CREATE_CLASS,1
LOAD_CONST,RAISE,1
RAISE,RETURN,1
JUMP,POP,1
JUMP_IF_FALSE_PEEK,LOAD_GLOBAL,1
JUMP_IF_FALSE,LOAD_CONST,1
STORE_LOCAL,JUMP,1
LOAD_FIELD,RETURN,1
JUMP,LOAD_LOCAL,1
LOAD_GLOBAL,JUMP_IF_FALSE,1
CALL,SWAP,1
LOAD_GLOBAL,CREATE_OBJECT,1
LOAD_GLOBAL,RETURN,1
CALL,JUMP,1
LOAD_LOCAL,JUMP_IF_FALSE,1
CALL,LOAD_GLOBAL,1
CALL,LOAD_CONST,1
STORE_FIELD,RETURN_INIT,1
LOAD_LOCAL,DUPE,1
JUMP,JUMP,1
