# Omitting opcode pairs seen zero times during compilation
opcode,next opcode,counts
LOAD_LOCAL,LOAD_FIELD,448
ASSERT_FUNC,LOAD_LOCAL,337
LOAD_FIELD,ASSERT_FUNC,310
POP,LOAD_LOCAL,233
DUPE,STORE_LOCAL,184
LOAD_GLOBAL,ASSERT_FUNC,179
LOAD_LOCAL,CALL,176
STORE_LOCAL,POP,169
LOAD_LOCAL,LOAD_LOCAL,118
ASSERT_FUNC,CALL,113
POP,LOAD_GLOBAL,113
SWAP,DUPE,112
DUPE,STORE_FIELD,112
LOAD_CONST,CALL,108
LOAD_FIELD,LOAD_FIELD,99
CALL,POP,97
CALL,JUMP_IF_FALSE,84
CALL,DUPE,76
LOAD_LOCAL,LOAD_CONST,76
STORE_FIELD,POP,66
DUPE,STORE_GLOBAL,61
CALL,RETURN,60
JUMP_IF_FALSE,LOAD_LOCAL,53
JUMP,LOAD_CONST,50
CALL,JUMP_IF_FALSE_PEEK,46
CALL,CALL,46
LOAD_CONST,SWAP,41
LOAD_FIELD,CALL,39
CREATE_FUNC,DUPE,37
LOAD_GLOBAL,CREATE_OBJECT,36
CREATE_OBJECT,DUPE,36
JUMP_IF_FALSE_PEEK,LOAD_LOCAL,35
LOAD_LOCAL,LOAD_GLOBAL,33
LOAD_FIELD,LOAD_LOCAL,32
LOAD_CONST,POP,32
POP,JUMP,32
ASSERT_FUNC,LOAD_GLOBAL,28
JUMP,LOAD_LOCAL,28
CALL,JUMP,27
LOAD_CONST,DUPE,27
JUMP,POP,26
POP,LOAD_CONST,25
CALL,SWAP,24
ASSERT_FUNC,LOAD_CONST,24
STORE_FIELD,RETURN,23
LOAD_LOCAL,SWAP,23
LOAD_CONST,RAISE,22
LOAD_FIELD,DUPE,22
LOAD_FIELD,LOAD_CONST,21
CALL,LOAD_CONST,21
STORE_GLOBAL,POP,20
CREATE_CLASS,DUPE,19
LOAD_LOCAL,RETURN,18
JUMP_IF_FALSE,LOAD_CONST,18
LOAD_GLOBAL,CALL,17
LOAD_CONST,RETURN,16
STORE_LOCAL,JUMP,15
LOAD_FIELD,RETURN,15
RAISE,RETURN,15
LOAD_LOCAL,DUPE,14
LOAD_FIELD,LOAD_GLOBAL,14
JUMP_IF_FALSE_PEEK,LOAD_GLOBAL,14
LOAD_GLOBAL,SWAP,14
JUMP_IF_FALSE,LOAD_GLOBAL,14
LOAD_GLOBAL,DUPE,13
CALL,LOAD_LOCAL,13
LOAD_LOCAL,ASSERT_FUNC,13
STORE_FIELD,RETURN_INIT,12
LOAD_GLOBAL,LOAD_FIELD,12
LOAD_CONST,JUMP,12
STORE_FIELD,JUMP,11
LOAD_GLOBAL,LOAD_CONST,10
LOAD_CONST,CREATE_CLASS,10
JUMP,LOAD_GLOBAL,9
RETURN,JUMP,9
LOAD_LOCAL,CREATE_FUNC,9
LOAD_GLOBAL,CREATE_CLASS,9
LOAD_NONLOCAL,LOAD_FIELD,8
RAISE,JUMP,7
LOAD_GLOBAL,RETURN,7
LOAD_FIELD,SWAP,7
LOAD_GLOBAL,LOAD_LOCAL,6
JUMP,RETURN,6
LOAD_GLOBAL,JUMP,4
POP,CREATE_FUNC,4
LOAD_NONLOCAL,CALL,4
CALL,LOAD_GLOBAL,4
LOAD_LOCAL,LOAD_NONLOCAL,4
JUMP_IF_FALSE,LOAD_NONLOCAL,4
CALL,JUMP_IF_TRUE_PEEK,3
LOAD_LOCAL,JUMP,3
LOAD_FIELD,JUMP_IF_FALSE,3
POP,LOAD_NONLOCAL,3
LOAD_CONST,LOAD_GLOBAL,2
JUMP_IF_TRUE_PEEK,LOAD_GLOBAL,2
JUMP_IF_TRUE_PEEK,LOAD_LOCAL,2
JUMP,LOAD_NONLOCAL,2
LOAD_FIELD,JUMP_IF_FALSE_PEEK,2
LOAD_FIELD,JUMP_IF_TRUE_PEEK,1
CALL,RETURN_INIT,1
LOAD_CONST,LOAD_LOCAL,1
LOAD_GLOBAL,JUMP_IF_FALSE,1
LOAD_NONLOCAL,SWAP,1
LOAD_NONLOCAL,ASSERT_FUNC,1
LOAD_NONLOCAL,LOAD_NONLOCAL,1
LOAD_NONLOCAL,LOAD_GLOBAL,1
LOAD_LOCAL,JUMP_IF_FALSE,1
LOAD_LOCAL,JUMP_IF_FALSE_PEEK,1
CREATE_LIST,SWAP,1
CREATE_LIST,DUPE,1
LOAD_LOCAL,CREATE_OBJECT,1
CREATE_OBJECT,SWAP,1
LOAD_LOCAL,CREATE_LIST,1
ASSERT_FUNC,LOAD_NONLOCAL,1
LOAD_FIELD,LOAD_NONLOCAL,1
LOAD_FIELD,JUMP,1
