# Omitting opcode pairs seen zero times during compilation
opcode,next opcode,counts
LOAD_LOCAL,LOAD_FIELD,343
LOAD_FIELD,ASSERT_FUNC,256
ASSERT_FUNC,LOAD_LOCAL,210
LOAD_GLOBAL,ASSERT_FUNC,156
POP,LOAD_LOCAL,134
LOAD_CONST,CALL,130
ASSERT_FUNC,CALL,126
LOAD_LOCAL,CALL,77
CALL,JUMP_IF_FALSE,76
CALL,POP,72
DUPE,STORE_LOCAL,71
POP,LOAD_GLOBAL,71
STORE_LOCAL,POP,64
CALL,CALL,61
DUPE,STORE_FIELD,60
ASSERT_FUNC,LOAD_CONST,60
LOAD_FIELD,LOAD_FIELD,60
SWAP,DUPE,60
LOAD_LOCAL,LOAD_LOCAL,53
CALL,RETURN,51
JUMP,LOAD_CONST,47
LOAD_FIELD,LOAD_CONST,46
LOAD_CONST,POP,41
LOAD_LOCAL,LOAD_CONST,40
JUMP_IF_FALSE,LOAD_LOCAL,40
CALL,DUPE,37
DUPE,STORE_GLOBAL,36
STORE_FIELD,POP,33
LOAD_GLOBAL,RETURN,27
CALL,JUMP_IF_FALSE_PEEK,24
RETURN,JUMP,24
CALL,JUMP_IF_TRUE_PEEK,24
JUMP_IF_TRUE_PEEK,LOAD_GLOBAL,23
JUMP,LOAD_LOCAL,23
LOAD_LOCAL,LOAD_GLOBAL,23
CALL,SWAP,21
CREATE_FUNC,DUPE,21
JUMP_IF_FALSE,LOAD_CONST,20
LOAD_CONST,SWAP,20
LOAD_LOCAL,RETURN,19
CALL,LOAD_CONST,19
LOAD_FIELD,LOAD_LOCAL,19
ASSERT_FUNC,LOAD_GLOBAL,18
POP,JUMP,18
JUMP_IF_FALSE,LOAD_GLOBAL,17
LOAD_CONST,LOAD_LOCAL,16
JUMP,POP,15
LOAD_GLOBAL,CREATE_OBJECT,14
CALL,RAISE,13
RAISE,JUMP,13
LOAD_FIELD,CALL,12
JUMP_IF_FALSE_PEEK,LOAD_LOCAL,11
CREATE_OBJECT,DUPE,11
CREATE_CLASS,DUPE,11
LOAD_CONST,RETURN,11
JUMP_IF_FALSE_PEEK,LOAD_GLOBAL,10
STORE_FIELD,RETURN,10
LOAD_CONST,JUMP,10
STORE_FIELD,RETURN_INIT,9
RAISE,RETURN,9
LOAD_CONST,RAISE,9
STORE_FIELD,JUMP,8
STORE_GLOBAL,POP,8
LOAD_CONST,DUPE,8
LOAD_GLOBAL,CALL,8
JUMP,LOAD_GLOBAL,7
CALL,JUMP,7
STORE_LOCAL,JUMP,7
LOAD_LOCAL,DUPE,7
LOAD_FIELD,RETURN,7
POP,LOAD_CONST,7
LOAD_CONST,CREATE_CLASS,6
LOAD_GLOBAL,DUPE,6
LOAD_LOCAL,SWAP,6
LOAD_GLOBAL,SWAP,5
LOAD_GLOBAL,CREATE_CLASS,5
LOAD_FIELD,DUPE,5
LOAD_GLOBAL,LOAD_FIELD,5
CALL,LOAD_LOCAL,5
CREATE_OBJECT,SWAP,4
LOAD_GLOBAL,JUMP,4
CALL,LOAD_GLOBAL,3
LOAD_LOCAL,ASSERT_FUNC,3
JUMP_IF_FALSE_PEEK,LOAD_CONST,3
LOAD_NONLOCAL,LOAD_FIELD,3
LOAD_FIELD,SWAP,3
LOAD_LOCAL,JUMP,2
POP,CREATE_FUNC,2
JUMP,RETURN,2
LOAD_FIELD,JUMP,2
JUMP_IF_TRUE_PEEK,LOAD_LOCAL,2
LOAD_LOCAL,CREATE_OBJECT,1
JUMP,LOAD_NONLOCAL,1
LOAD_NONLOCAL,CALL,1
LOAD_NONLOCAL,LOAD_NONLOCAL,1
LOAD_NONLOCAL,LOAD_GLOBAL,1
LOAD_GLOBAL,LOAD_CONST,1
POP,LOAD_NONLOCAL,1
LOAD_FIELD,JUMP_IF_TRUE_PEEK,1
CREATE_LIST,SWAP,1
JUMP,JUMP,1
CREATE_LIST,DUPE,1
LOAD_GLOBAL,JUMP_IF_FALSE,1
LOAD_LOCAL,CREATE_FUNC,1
ASSERT_FUNC,LOAD_NONLOCAL,1
JUMP_IF_FALSE,LOAD_NONLOCAL,1
LOAD_LOCAL,LOAD_NONLOCAL,1
LOAD_LOCAL,CREATE_LIST,1
LOAD_LOCAL,JUMP_IF_FALSE,1
LOAD_CONST,LOAD_CONST,1
