# DYNAMIC COUNTS:
# Total dynamic bytecodes: 1434487
instruction,counts,total execution time(μs),total execution time(μs)_std
ASSERT_FUNC,233607,232342.46,4301.017474353465
CALL,233607,344401.86,5869.2371788531955
CATCH,0,0.0,0.0
CREATE_CLASS,2,14.5,2.3321182453306437
CREATE_FUNC,17,31.98,5.493929859956573
CREATE_LIST,5461,4198.76,80.03176920219033
CREATE_OBJECT,2,25.7,4.234214381508266
DUPE,52478,32361.88,514.8774230982809
JUMP,31976,19444.12,241.60548378693358
JUMP_IF_FALSE,5461,3420.42,58.51149895707744
JUMP_IF_FALSE_PEEK,33341,20906.44,345.0796512608151
JUMP_IF_TRUE_PEEK,0,0.0,0.0
LOAD_CONST,104915,64516.54,992.3860796184168
LOAD_FIELD,182518,254883.18,5404.999917649947
LOAD_GLOBAL,15,26.36,4.583733439555354
LOAD_GLOBAL_BY_INDEX,64733,40019.2,523.4233078337973
LOAD_LOCAL,0,0.0,0.0
LOAD_LOCAL_SAFE,338517,208150.78,2697.7113678230326
LOAD_NONLOCAL,0,0.0,0.0
NOP,0,0.0,0.0
POP,85801,52766.78,726.5651168199521
RAISE,0,0.0,0.0
RETURN,0,0.0,0.0
STORE_FIELD,9558,6542.98,353.245910183295
STORE_GLOBAL,21,49.42,7.6240489537370895
STORE_GLOBAL_BY_INDEX,0,0.0,0.0
STORE_LOCAL,42899,26371.78,441.5088826619323
SWAP,9558,5884.58,88.09389471305197
TRY,0,0.0,0.0
