# DYNAMIC COUNTS:
# Total dynamic bytecodes: 833632
instruction,counts,total execution time(μs),total execution time(μs)_std
ASSERT_FUNC,105946,66167.06,1142.7942734493267
CALL,105946,166717.02,3230.7601461638646
CATCH,0,0.0,0.0
CREATE_CLASS,2,18.84,3.530392820832797
CREATE_FUNC,17,30.88,6.176452981167382
CREATE_LIST,0,0.0,0.0
CREATE_OBJECT,32,275.0,58.99775160018856
DUPE,41832,25744.0,437.15971022602037
JUMP,20863,12668.52,198.13520842174097
JUMP_IF_FALSE,42464,26413.08,455.650055482521
JUMP_IF_FALSE_PEEK,20859,13009.56,230.4406745559387
JUMP_IF_TRUE_PEEK,0,0.0,0.0
LOAD_CONST,39767,24455.06,424.29145787358226
LOAD_FIELD,83647,57973.88,976.7819851587224
LOAD_GLOBAL,15,21.98,3.9820515684603515
LOAD_GLOBAL_BY_INDEX,84211,51845.62,890.5683094954322
LOAD_LOCAL,0,0.0,0.0
LOAD_LOCAL_SAFE,201516,123785.34,2097.4566679379936
LOAD_NONLOCAL,0,0.0,0.0
NOP,0,0.0,0.0
POP,43919,26976.46,476.2010898340997
RAISE,0,0.0,0.0
RETURN,702,428.78,15.914683247150817
STORE_FIELD,62,98.68,21.645039965360212
STORE_GLOBAL,20,48.46,9.8896152501459
STORE_GLOBAL_BY_INDEX,0,0.0,0.0
STORE_LOCAL,41750,25559.56,457.75936820962295
SWAP,62,85.48,19.815722473401195
TRY,0,0.0,0.0
