# DYNAMIC COUNTS:
# Total dynamic bytecodes: 1224668
instruction,counts,total execution time(μs),total execution time(μs)_std
ASSERT_FUNC,171940,140603.74,1593.685803797124
CALL,171940,271718.6,2955.3206186780603
CATCH,0,0.0,0.0
CREATE_CLASS,2,16.44,2.391822804166441
CREATE_FUNC,17,32.4,3.5742845723419445
CREATE_LIST,1,2.5,0.5439837932759934
CREATE_OBJECT,15,137.68,23.767959911766663
DUPE,45144,28031.28,318.3665606479039
JUMP,12429,7610.04,98.24562305252887
JUMP_IF_FALSE,32792,20718.78,260.5777951916434
JUMP_IF_FALSE_PEEK,8220,5191.54,66.4380054744916
JUMP_IF_TRUE_PEEK,0,0.0,0.0
LOAD_CONST,45134,27963.24,354.5030186106763
LOAD_FIELD,196385,183439.46,2052.8022779227654
LOAD_GLOBAL,15,26.92,3.1025993052567395
LOAD_GLOBAL_BY_INDEX,49092,30601.16,377.1378982357969
LOAD_LOCAL,0,0.0,0.0
LOAD_LOCAL_SAFE,360274,222826.64,2627.741598515994
LOAD_NONLOCAL,0,0.0,0.0
NOP,0,0.0,0.0
POP,61521,38093.12,439.72183415037716
RAISE,0,0.0,0.0
RETURN,0,0.0,0.0
STORE_FIELD,24603,17224.12,196.16971411177116
STORE_GLOBAL,21,50.24,5.069154419685027
STORE_GLOBAL_BY_INDEX,0,0.0,0.0
STORE_LOCAL,20520,12686.4,171.74221308432584
SWAP,24603,15242.8,185.99835417310047
TRY,0,0.0,0.0
