# DYNAMIC COUNTS:
# Total dynamic bytecodes: 881082
instruction,counts,total execution time(ticks),total execution time(ticks)_std,total execution time(μs),total execution time(μs)_std
ASSERT_FUNC,109539,133371850.8,1379828.218751641,49396.98177777778,511.0474884265337
CALL,109539,47955180.5,530450.7692253233,17761.177962962964,196.46324786123085
CATCH,0,0.0,0.0,0.0,0.0
CREATE_CLASS,3,32352.7,7060.659407851664,11.982481481481482,2.6150590399450606
CREATE_FUNC,18,12747.8,2556.80894043625,4.7214074074074075,0.9469662742356482
CREATE_LIST,1,587.1,186.33131216930994,0.21744444444444444,0.06901159709974442
CREATE_OBJECT,102,439585.2,27084.942108310406,162.80933333333334,10.031460040114965
DUPE,42240,902625.7,26538.856265959606,334.3058148148148,9.829206024429483
JUMP,8720,170016.2,9890.58482438835,62.96896296296297,3.663179564588278
JUMP_IF_FALSE,26426,722000.6,21663.00416645367,267.40762962962964,8.023334876464322
JUMP_IF_FALSE_PEEK,5303,160689.5,19745.75459101073,59.51462962962963,7.313242441115085
JUMP_IF_TRUE_PEEK,0,0.0,0.0,0.0,0.0
LOAD_CONST,54087,1121726.9,6110.43430190479,415.45440740740736,2.263123815520293
LOAD_FIELD,111096,135486346.4,1663010.7952388905,50180.1282962963,615.929924162552
LOAD_GLOBAL,38,22053.2,9998.226230055432,8.167851851851852,3.703046751872382
LOAD_GLOBAL_BY_INDEX,47162,1211485.5,27553.697758338974,448.6983333333333,10.20507324382925
LOAD_LOCAL,0,0.0,0.0,0.0,0.0
LOAD_LOCAL_SAFE,193049,4230561.9,57195.38490942141,1566.8747777777778,21.1834758923783
LOAD_NONLOCAL,0,0.0,0.0,0.0,0.0
NOP,0,0.0,0.0,0.0,0.0
POP,64613,1348275.1,28760.559861873775,499.3611481481482,10.652059208101399
RAISE,0,0.0,0.0,0.0,0.0
RETURN,52752,2251555.0,41555.25298607675,833.9092592592592,15.390834439287687
RETURN_INIT,101,5465.3,366.617124244727,2.024185185185185,0.13578412009063962
STORE_FIELD,14053,768615.7,14499.998014881903,284.67248148148144,5.370369635141445
STORE_GLOBAL,23,40772.2,5818.415696824405,15.100814814814814,2.1549687766016317
STORE_GLOBAL_BY_INDEX,0,0.0,0.0,0.0,0.0
STORE_LOCAL,28164,566610.9,18178.932751662676,209.8558888888889,6.732938056171362
SWAP,14053,353997.6,14739.957203394277,131.1102222222222,5.459243408664547
TRY,0,0.0,0.0,0.0,0.0
