# DYNAMIC COUNTS:
# Total dynamic bytecodes: 972138
instruction,counts,total execution time(μs),total execution time(μs)_std
ASSERT_FUNC,161497,181491.6,1103.8887911188758
CALL,161497,186795.65,830.9428554042539
CATCH,0,0.0,0.0
CREATE_CLASS,1,18.9,4.575679414607534
CREATE_FUNC,17,36.45,8.042485868645864
CREATE_LIST,1,1.95,0.6048053188292993
CREATE_OBJECT,1,10.75,3.6831765466352833
DUPE,22430,14128.85,117.68033194342976
JUMP,21737,13435.3,95.32167147418014
JUMP_IF_FALSE,4999,3164.0,34.26829131243166
JUMP_IF_FALSE_PEEK,21739,13945.35,121.92805255559512
JUMP_IF_TRUE_PEEK,0,0.0,0.0
LOAD_CONST,36072,22589.05,168.78964641482636
LOAD_FIELD,123020,142469.6,928.7695538778852
LOAD_GLOBAL,14,17.35,2.758241239783443
LOAD_GLOBAL_BY_INDEX,59535,37528.25,264.86915836433565
LOAD_LOCAL,0,0.0,0.0
LOAD_LOCAL_SAFE,223451,140323.3,734.3995829032172
LOAD_NONLOCAL,0,0.0,0.0
NOP,0,0.0,0.0
POP,43481,27350.35,219.1109488244184
RAISE,0,0.0,0.0
RETURN,70216,44897.7,283.6738490442469
RETURN_INIT,0,0.0,0.0
STORE_FIELD,0,0.0,0.0
STORE_GLOBAL,20,47.15,10.220078277586722
STORE_GLOBAL_BY_INDEX,0,0.0,0.0
STORE_LOCAL,22410,14137.75,130.66625827898932
SWAP,0,0.0,0.0
TRY,0,0.0,0.0
