# DYNAMIC COUNTS:
# Total dynamic bytecodes: 699840
instruction,counts,total execution time(μs),total execution time(μs)_std
ASSERT_FUNC,105193,96433.5,470.34975787900896
CALL,105193,120571.0,599.453435266354
CATCH,0,0.0,0.0
CREATE_CLASS,1,22.4,4.321305845520115
CREATE_FUNC,17,37.75,5.437443284640698
CREATE_LIST,40,59.55,5.548589199541012
CREATE_OBJECT,1,9.15,2.7390932037715268
DUPE,9895,6264.05,61.14217684605031
JUMP,9740,5986.25,89.36611567914845
JUMP_IF_FALSE,11010,6983.4,67.85154072640778
JUMP_IF_FALSE_PEEK,27351,17464.75,110.34151530589102
JUMP_IF_TRUE_PEEK,0,0.0,0.0
LOAD_CONST,36367,22825.75,131.0230493985089
LOAD_FIELD,101732,100438.75,503.4158974341933
LOAD_GLOBAL,57,95.8,21.471155681886096
LOAD_GLOBAL_BY_INDEX,29307,18447.6,96.19683767644017
LOAD_LOCAL,0,0.0,0.0
LOAD_LOCAL_SAFE,178058,111935.4,659.9951674464235
LOAD_NONLOCAL,0,0.0,0.0
NOP,0,0.0,0.0
POP,28396,17823.6,104.25394098318885
RAISE,0,0.0,0.0
RETURN,47542,30531.95,172.45608899536953
RETURN_INIT,1,1.65,0.4893604849295929
STORE_FIELD,44,41.75,6.17188020486123
STORE_GLOBAL,19,46.7,7.664683191173178
STORE_GLOBAL_BY_INDEX,0,0.0,0.0
STORE_LOCAL,9832,6183.2,68.81753142607586
SWAP,44,36.25,6.414416329028328
TRY,0,0.0,0.0
