# DYNAMIC COUNTS:
# Total dynamic bytecodes: 881082
instruction,counts,total execution time(μs),total execution time(μs)_std
ASSERT_FUNC,109539,117012.35,544.7160800772625
CALL,109539,121820.15,618.6101803746483
CATCH,0,0.0,0.0
CREATE_CLASS,3,18.9,4.191470034800627
CREATE_FUNC,18,39.9,0.9119095061289914
CREATE_LIST,1,1.15,0.5871429486123998
CREATE_OBJECT,102,204.85,8.809534308738577
DUPE,42240,26466.2,161.30409333403713
JUMP,8720,5352.6,51.25108471252618
JUMP_IF_FALSE,26426,16766.55,114.75992102508697
JUMP_IF_FALSE_PEEK,5303,3393.15,41.22885422920013
JUMP_IF_TRUE_PEEK,0,0.0,0.0
LOAD_CONST,54087,33906.65,240.26548364585943
LOAD_FIELD,111096,119890.85,609.6270020093837
LOAD_GLOBAL,38,32.4,2.962928849706157
LOAD_GLOBAL_BY_INDEX,47162,29533.1,143.1189788436987
LOAD_LOCAL,0,0.0,0.0
LOAD_LOCAL_SAFE,193049,120748.3,549.2372797559202
LOAD_NONLOCAL,0,0.0,0.0
NOP,0,0.0,0.0
POP,64613,40448.05,235.46202621542488
RAISE,0,0.0,0.0
RETURN,52752,33563.0,195.30165601475343
RETURN_INIT,101,66.75,6.197410325034329
STORE_FIELD,14053,8999.5,57.5193331342647
STORE_GLOBAL,23,52.9,2.6137289353275373
STORE_GLOBAL_BY_INDEX,0,0.0,0.0
STORE_LOCAL,28164,17657.75,140.45822566832754
SWAP,14053,8818.65,79.62099366108775
TRY,0,0.0,0.0
