# STATIC COUNTS
instruction, counts
NOP, 0
LOAD_CONST, 81
LOAD_GLOBAL, 129
LOAD_GLOBAL_BY_INDEX, 0
LOAD_LOCAL, 229
LOAD_LOCAL_SAFE, 0
LOAD_FIELD, 118
LOAD_NONLOCAL, 0
STORE_GLOBAL, 30
STORE_GLOBAL_BY_INDEX, 0
STORE_LOCAL, 52
STORE_FIELD, 27
CALL, 166
JUMP, 15
JUMP_IF_FALSE, 7
JUMP_IF_TRUE_PEEK, 0
JUMP_IF_FALSE_PEEK, 8
RAISE, 3
TRY, 0
CATCH, 0
ASSERT_FUNC, 166
CREATE_OBJECT, 7
CREATE_CLASS, 3
CREATE_LIST, 1
CREATE_FUNC, 23
POP, 97
DUPE, 109
SWAP, 27
RETURN, 36
RETURN_INIT, 2
# Total static bytecodes: 1336
