instruction,counts,total execution time(ns),total execution time(ns)_std
ASSERT_FUNC,105946,2982738.8,118337.23495671179
CALL,105946,26150743.2,892572.3042357413
CATCH,0,0.0,0.0
CREATE_CLASS,2,133891.6,24200.495930868852
CREATE_FUNC,17,478790.4,55289.467955479544
CREATE_LIST,0,0.0,0.0
CREATE_OBJECT,32,666833.0,58125.1714277042
DUPE,41832,599988.4,61172.824871833414
JUMP,20863,256384.6,21666.461739287293
JUMP_IF_FALSE,42464,993887.4,49440.41919118405
JUMP_IF_FALSE_PEEK,20859,442924.0,71195.4658949571
JUMP_IF_TRUE_PEEK,0,0.0,0.0
LOAD_CONST,39767,668814.0,50731.36074954031
LOAD_FIELD,83647,7527709.8,1350508.6233605472
LOAD_GLOBAL,15,485058.2,59365.19684714269
LOAD_GLOBAL_BY_INDEX,84211,1648218.2,113111.08435383331
LOAD_LOCAL,0,0.0,0.0
LOAD_LOCAL_SAFE,201516,3053419.8,327463.5704879247
LOAD_NONLOCAL,0,0.0,0.0
NOP,0,0.0,0.0
POP,43919,700219.0,72240.94270910368
RAISE,0,0.0,0.0
RETURN,702,44255.4,2510.60904961326
STORE_FIELD,62,44575.8,10443.290630830877
STORE_GLOBAL,20,117725.4,7056.258484494455
STORE_GLOBAL_BY_INDEX,0,0.0,0.0
STORE_LOCAL,41750,878473.8,96146.66878628712
SWAP,62,16684.4,1559.1594851072805
TRY,0,0.0,0.0
