# DYNAMIC COUNTS:
# Total dynamic bytecodes: 1314892
instruction,counts,total execution time(ticks),total execution time(ticks)_std,total execution time(μs),total execution time(μs)_std
ASSERT_FUNC,171940,94556559.6,887764.2469279863,35020.948,328.8015729362912
CALL,171940,73307509.1,563612.818173863,27150.929296296294,208.74548821254186
CATCH,0,0.0,0.0,0.0,0.0
CREATE_CLASS,2,29646.4,6375.027020788969,10.98014814814815,2.361121118810729
CREATE_FUNC,17,4796.0,1008.1144463016614,1.7762962962962963,0.3733757208524672
CREATE_LIST,1,1550.7,372.08729875492503,0.5743333333333334,0.13781011064997223
CREATE_OBJECT,15,124946.0,28675.753117261025,46.276296296296294,10.62064930268927
DUPE,45174,983543.3,29672.654412864104,364.2752962962963,10.989872004764482
JUMP,12429,251260.0,21335.08105889156,93.05925925925926,7.90188187366354
JUMP_IF_FALSE,32792,816106.3,47576.375961074154,302.2615925925926,17.62087998558302
JUMP_IF_FALSE_PEEK,8220,251099.1,15888.085061984097,92.99966666666667,5.884475948882999
JUMP_IF_TRUE_PEEK,0,0.0,0.0,0.0,0.0
LOAD_CONST,45134,933225.0,22334.095817829733,345.6388888888889,8.271887339936939
LOAD_FIELD,196385,169112469.6,1617823.3253079772,62634.248,599.1938241881397
LOAD_GLOBAL,15,16577.4,3546.2812011873416,6.139777777777779,1.3134374819212375
LOAD_GLOBAL_BY_INDEX,49092,1224119.7,23300.78342730807,453.37766666666664,8.629919787891877
LOAD_LOCAL,0,0.0,0.0,0.0,0.0
LOAD_LOCAL_SAFE,360304,8069573.1,96209.37381286283,2988.730777777778,35.63310141217142
LOAD_NONLOCAL,0,0.0,0.0,0.0,0.0
NOP,0,0.0,0.0,0.0,0.0
POP,61536,1287013.5,24854.618775464744,476.6716666666667,9.205414361283239
RAISE,0,0.0,0.0,0.0,0.0
RETURN,90074,3861732.6,74850.11070441488,1430.2713333333334,27.722263223857365
RETURN_INIT,15,2020.3,456.14368696485843,0.7482592592592593,0.1689421062832809
STORE_FIELD,24633,4742077.5,51062.16576879584,1756.325,18.911913247702163
STORE_GLOBAL,21,38618.9,8109.231243335878,14.303296296296297,3.003418979013288
STORE_GLOBAL_BY_INDEX,0,0.0,0.0,0.0,0.0
STORE_LOCAL,20520,423800.2,23381.09937444976,156.96303703703705,8.659666434981393
SWAP,24633,646617.0,19687.231603517204,239.48777777777778,7.291567260561927
TRY,0,0.0,0.0,0.0,0.0
