# DYNAMIC COUNTS:
# Total dynamic bytecodes: 927987
instruction,counts,total execution time(μs),total execution time(μs)_std
ASSERT_FUNC,136990,119804.06,1340.1677082076135
CALL,136990,212359.24,1592.6355843349072
CATCH,0,0.0,0.0
CREATE_CLASS,1,12.7,1.8098370656171328
CREATE_FUNC,17,36.98,5.270208918137526
CREATE_LIST,1,2.34,0.6262945776223705
CREATE_OBJECT,1,17.7,3.0050977097089473
DUPE,31039,19016.1,164.68364849502424
JUMP,13699,8299.68,79.14245487262374
JUMP_IF_FALSE,17320,10805.32,93.25375519057093
JUMP_IF_FALSE_PEEK,8659,5392.38,56.850642126576496
JUMP_IF_TRUE_PEEK,0,0.0,0.0
LOAD_CONST,39690,24317.04,208.86788715768208
LOAD_FIELD,156363,139591.06,1721.1584068971242
LOAD_GLOBAL,11,19.74,2.862922725225437
LOAD_GLOBAL_BY_INDEX,38253,23597.98,176.70158055724602
LOAD_LOCAL,0,0.0,0.0
LOAD_LOCAL_SAFE,249416,152499.48,1132.9511263482975
LOAD_NONLOCAL,0,0.0,0.0
NOP,0,0.0,0.0
POP,59836,36610.98,268.15206544809985
RAISE,0,0.0,0.0
RETURN,0,0.0,0.0
STORE_FIELD,8662,5487.74,54.698360233602045
STORE_GLOBAL,20,48.34,6.329748358798655
STORE_GLOBAL_BY_INDEX,0,0.0,0.0
STORE_LOCAL,22357,13654.42,139.7455544910106
SWAP,8662,5308.28,71.52080901701957
TRY,0,0.0,0.0
